min_x_mm,min_y_mm,min_z_mm,size_x_mm,size_y_mm,size_z_mm,center_x_mm,center_y_mm,center_z_mm
754.80,-680.67,-1846.30,300.00,200.00,100.00,859.96,-532.12,-1803.00
762.70,-681.66,-1746.62,300.00,200.00,100.00,867.87,-533.12,-1703.32
770.61,-682.66,-1646.94,300.00,200.00,100.00,875.77,-534.11,-1603.64
778.51,-683.65,-1547.26,300.00,200.00,100.00,883.68,-535.11,-1503.96
680.00,-495.34,-1838.52,300.00,200.00,100.00,785.17,-346.80,-1795.22
687.91,-496.34,-1738.84,300.00,200.00,100.00,793.07,-347.79,-1695.54
695.81,-497.33,-1639.16,300.00,200.00,100.00,800.98,-348.79,-1595.86
703.72,-498.33,-1539.48,300.00,200.00,100.00,808.88,-349.78,-1496.17
605.21,-310.02,-1830.74,300.00,200.00,100.00,710.37,-161.48,-1787.44
613.11,-311.02,-1731.06,300.00,200.00,100.00,718.27,-162.47,-1687.76
621.02,-312.01,-1631.38,300.00,200.00,100.00,726.18,-163.47,-1588.08
628.92,-313.01,-1531.70,300.00,200.00,100.00,734.08,-164.46,-1488.39
530.41,-124.70,-1822.96,300.00,200.00,100.00,635.57,23.85,-1779.66
538.31,-125.69,-1723.28,300.00,200.00,100.00,643.48,22.85,-1679.98
546.22,-126.69,-1623.60,300.00,200.00,100.00,651.38,21.86,-1580.29
554.12,-127.68,-1523.91,300.00,200.00,100.00,659.29,20.86,-1480.61
455.61,60.63,-1815.18,300.00,200.00,100.00,560.77,209.17,-1771.88
463.52,59.63,-1715.50,300.00,200.00,100.00,568.68,208.18,-1672.20
471.42,58.64,-1615.82,300.00,200.00,100.00,576.58,207.18,-1572.51
479.33,57.64,-1516.13,300.00,200.00,100.00,584.49,206.19,-1472.83
380.81,245.95,-1807.40,300.00,200.00,100.00,485.98,394.50,-1764.10
388.72,244.96,-1707.72,300.00,200.00,100.00,493.88,393.50,-1664.41
396.62,243.96,-1608.03,300.00,200.00,100.00,501.79,392.51,-1564.73
404.53,242.97,-1508.35,300.00,200.00,100.00,509.69,391.51,-1465.05
306.02,431.27,-1799.62,300.00,200.00,100.00,411.18,579.82,-1756.32
313.92,430.28,-1699.94,300.00,200.00,100.00,419.09,578.82,-1656.63
321.83,429.28,-1600.25,300.00,200.00,100.00,426.99,577.83,-1556.95
329.73,428.29,-1500.57,300.00,200.00,100.00,434.90,576.83,-1457.27
1032.02,-567.91,-1867.16,300.00,200.00,100.00,1137.18,-419.36,-1823.86
1039.92,-568.90,-1767.48,300.00,200.00,100.00,1145.09,-420.36,-1724.18
1047.83,-569.90,-1667.80,300.00,200.00,100.00,1152.99,-421.35,-1624.50
1055.73,-570.89,-1568.12,300.00,200.00,100.00,1160.90,-422.35,-1524.81
957.22,-382.58,-1859.38,300.00,200.00,100.00,1062.38,-234.04,-1816.08
965.13,-383.58,-1759.70,300.00,200.00,100.00,1070.29,-235.03,-1716.40
973.03,-384.57,-1660.02,300.00,200.00,100.00,1078.19,-236.03,-1616.71
980.94,-385.57,-1560.33,300.00,200.00,100.00,1086.10,-237.02,-1517.03
882.42,-197.26,-1851.60,300.00,200.00,100.00,987.59,-48.71,-1808.30
890.33,-198.25,-1751.92,300.00,200.00,100.00,995.49,-49.71,-1708.62
898.23,-199.25,-1652.24,300.00,200.00,100.00,1003.40,-50.70,-1608.93
906.14,-200.24,-1552.55,300.00,200.00,100.00,1011.30,-51.70,-1509.25
807.63,-11.94,-1843.82,300.00,200.00,100.00,912.79,136.61,-1800.52
815.53,-12.93,-1744.14,300.00,200.00,100.00,920.69,135.61,-1700.83
823.44,-13.93,-1644.45,300.00,200.00,100.00,928.60,134.62,-1601.15
831.34,-14.92,-1544.77,300.00,200.00,100.00,936.50,133.62,-1501.47
732.83,173.39,-1836.04,300.00,200.00,100.00,837.99,321.93,-1792.74
740.73,172.39,-1736.36,300.00,200.00,100.00,845.90,320.94,-1693.05
748.64,171.40,-1636.67,300.00,200.00,100.00,853.80,319.94,-1593.37
756.54,170.40,-1536.99,300.00,200.00,100.00,861.71,318.95,-1493.69
658.03,358.71,-1828.26,300.00,200.00,100.00,763.20,507.26,-1784.95
665.94,357.72,-1728.57,300.00,200.00,100.00,771.10,506.26,-1685.27
673.84,356.72,-1628.89,300.00,200.00,100.00,779.01,505.27,-1585.59
681.75,355.73,-1529.21,300.00,200.00,100.00,786.91,504.27,-1485.91
583.24,544.04,-1820.48,300.00,200.00,100.00,688.40,692.58,-1777.17
591.14,543.04,-1720.79,300.00,200.00,100.00,696.30,691.59,-1677.49
599.05,542.05,-1621.11,300.00,200.00,100.00,704.21,690.59,-1577.81
606.95,541.05,-1521.43,300.00,200.00,100.00,712.11,689.60,-1478.13
